season,episode,character,dialogue
6,24,PENNY,Like this. I am so happy for you.
6,24,SHELDON,Wow. No wonder you didn’t get that toothpaste commercial.
6,24,LUCY,Hi.
6,24,RAJ,"I want to apologize for Amy last night. She was completely out of line. Are you, are you not speaking to me or did the screen freeze again?"
6,24,LUCY,Amy wasn’t the problem.
6,24,RAJ,"Okay. I know. It was me. I, I pushed too hard. I’m sorry."
6,24,LUCY,Thank you.
6,24,RAJ,"You know, I, I’ve been thinking that maybe meeting somebody one-on-one is too intense, so Friday night, my friends are having a party."
6,24,LUCY,A party?
6,24,RAJ,"A little one. It’s, it’s a farewell for Leonard, so all the attention will be on him. If you wear something brown and sit on the couch, they won’t even know you’re there."
6,24,LUCY,I’m not sure.
6,24,RAJ,"Oh, please?"
6,24,LUCY,Raj.
6,24,RAJ,"Come on. Don’t make me beg. And I’m from India, so I know how to do it."
6,24,LUCY,Okay.
6,24,RAJ,"Yeah, thank you! This means a lot to me. My friends are like my family. Unless you don’t like them, in which case, they’re dead to me."
6,24,BERNADETTE,"So, have you ever spent a long time on a boat before?"
6,24,LEONARD,Yeah.
6,24,BERNADETTE,Are you referring to the time we got stuck on the Small World ride at Disneyland?
6,24,LEONARD,Yeah.
6,24,HOWARD,"I’m proud of you, Leonard. Working out on the North Sea for months, that’s really something."
6,24,LEONARD,"I know. As far as science goes, this is the adventure of a lifetime."
6,24,HOWARD,Maybe your lifetime. I went to space.
6,24,LEONARD,It’s not a competition.
6,24,HOWARD,"You’re right, you’re right. I’m really proud of you, and I’m gonna miss you when you’re gone. And space beats water."
6,24,AMY,"Rajesh, I thought Lucy was coming."
6,24,RAJ,"She is. She’s just running a little late. You know how it is, girls always fussing about their hair, their makeup. She’ll be here. Just give it a rest, okay?"
6,24,SHELDON,"Um, can I have your attention, everyone?    That’s, uh, B-flat, for those who don’t have perfect pitch. I would like to propose a toast to my best friend, Dr. Leonard Hofstadter. He has been presented with a wonderful opportunity, and I couldn’t be happier for him."
6,24,LEONARD,"Thank you, Sheldon. That must’ve been very hard for you to say."
6,24,SHELDON,"Well, I mean it. I’m really happy for you. And that’s how you get a toothpaste commercial. Cheers."
6,24,HOWARD,Cheers.
6,24,PENNY,Cheers.
6,24,HOWARD,It was really nice of you to try to be happy for Leonard.
6,24,SHELDON,Thank you.
6,24,HOWARD,It must’ve killed you when I went to space.
6,24,HOWARD,"Buddy, you okay? Oh, man."
6,24,BERNADETTE,What’s going on?
6,24,RAJ,"Uh, go ahead. Read it."
6,24,HOWARD,"Raj, I can’t come to the party. This is all just too much for me. I don’t think we should see each other any more. Sorry. Lucy."
6,24,RAJ,Excuse me.
6,24,PENNY,"Raj, I’m so sorry."
6,24,AMY,"Me, too."
6,24,SHELDON,It did not kill me when you went to space. Monkeys went to space.
6,24,PENNY,"Well, here we are."
6,24,LEONARD,Yep. I’m really gonna miss you.
6,24,PENNY,"I’m gonna miss you, too."
6,24,SHELDON,"Penny, we’re in the red zone. The white zone is for loading and unloading. We’re breaking the law."
6,24,PENNY,"Okay, there’s no space in the white zone, so…"
6,24,LEONARD,"Anyway, we can e-mail, and I think the phone connections are pretty good."
6,24,SHELDON,"All right, you have to get out of the car right now. I’m not going to jail for you."
6,24,LEONARD,Would you just relax?
6,24,SHELDON,"Oh, I see a space in the white zone. Quick, circle the airport."
6,24,PENNY,Did you bring enough inhalers?
6,24,LEONARD,Yeah.
6,24,PENNY,"And, uh, extra Dramamine? You remember what happened on It’s a Small World."
6,24,LEONARD,I’m covered.
6,24,PENNY,Okay.
6,24,SHELDON,"Oh, dear Lord, a police officer’s glancing in our direction. We’ve been made."
6,24,LEONARD,Calm down. I’m getting out. I have something I want to give you.
6,24,PENNY,"Oh, Leonard."
6,24,SHELDON,"It’s just a heart-shaped locket with a picture of Leonard’s face in it. He got it at the mall on clearance. Now move, move, move."
6,24,PENNY,I love you.
6,24,LEONARD,"I love you, too."
6,24,SHELDON,"Don’t worry, Officer. They just love each other. We’re not smuggling drugs."
6,24,PENNY,"Raj, it’s Penny. Are you in there?"
6,24,RAJ,Hang on.
6,24,PENNY,Hey. I’m just coming back from the airport. I wanted to see how you’re doing.
6,24,RAJ,"That’s, that’s very nice of you. Uh, come, come. Come on in."
6,24,PENNY,"Can’t stay long. I left Sheldon in the car with the window cracked open. He’s gonna go through that activity book in, like, 30 seconds, so… Are you okay?"
